name,gb,gddr,price,link
Gigabyte GeForce RTX 2060 WINDFORCE OC 12GB GDDR6,12,GDDR6,509.89,https://www.pccomponentes.com/gigabyte-geforce-rtx-2060-windforce-oc-12gb-gddr6
Asus ROG Strix GeForce RTX 3060 Ti V2 OC Edition LHR 8GB GDDR6,8,GDDR6,904.98,https://www.pccomponentes.com/asus-rog-strix-geforce-rtx-3060-ti-v2-oc-edition-lhr-8gb-gddr6
MSI RTX 3080 Ti GAMING X TRIO 12GB GDDR6X,12,GDDR6X,1678.14,https://www.pccomponentes.com/msi-rtx-3080-ti-gaming-x-trio-12gb-gddr6x
PNY GeForce RTX 3080 XLR8 Gaming REVEL EPIC-X RGB Triple Fan LHR 10GB GDDR6X,10,GDDR6X,1517.53,https://www.pccomponentes.com/pny-geforce-rtx-3080-xlr8-gaming-revel-epic-x-rgb-triple-fan-lhr-10gb-gddr6x
Gigabyte GeForce GTX 1660 SUPER OC 6GB GDDR6,6,GDDR6,424.73,https://www.pccomponentes.com/gigabyte-geforce-gtx-1660-super-oc-6gb-gddr6
Gigabyte GeForce RTX 3080 GAMING OC V2 LHR 10GB GDDR6X,10,GDDR6X,1291.49,https://www.pccomponentes.com/gigabyte-geforce-rtx-3080-gaming-oc-v2-lhr-10gb-gddr6x
XFX SPEEDSTER SWFT 210 AMD RADEON RX 6600 8GB GDDR6,8,GDDR6,403.34,https://www.pccomponentes.com/xfx-speedster-swft-210-amd-radeon-rx-6600-8gb-gddr6
Gigabyte GeForce GTX 1660 OC 6GB GDDR5,6,GDDR5,364.4,https://www.pccomponentes.com/gigabyte-geforce-gtx-1660-oc-6gb-gddr5
Asus GeForce GTX 1050 Ti 4GB GDDR5,4,GDDR5,229.98,https://www.pccomponentes.com/asus-geforce-gtx-1050-tis-4gb-gddr5
Gigabyte AORUS GeForce RTX 3060 ELITE REV 2.0 12GB GDDR6,12,GDDR6,644.14,https://www.pccomponentes.com/gigabyte-aorus-geforce-rtx-3060-elite-rev-20-12gb-gddr6
Gigabyte AORUS GeForce RTX 3060 ELITE REV 2.0 12GB GDDR6,12,GDDR6,635.62,https://www.pccomponentes.com/gigabyte-aorus-geforce-rtx-3060-elite-rev-20-12gb-gddr6
Asus TUF Gaming GeForce GTX 1650 4GB GDDR6,4,GDDR6,229.9,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1650-4gb-gddr6
Gigabyte GeForce RTX 3080 VISION OC 10GB GDDR6X Rev 2.0,10,GDDR6X,1128.7,https://www.pccomponentes.com/gigabyte-geforce-rtx-3080-vision-oc-10gb-gddr6x-rev-20
Asus GeForce RTX 3060 Ti V2 Dual MINI LHR 8GB GDDR6,8,GDDR6,621.34,https://www.pccomponentes.com/asus-geforce-rtx-3060-ti-v2-dual-mini-lhr-8gb-gddr6
MSI GeForce RTX 3080 Ti VENTUS 3X OC 12GB GDDR6X,12,GDDR6X,1726.56,https://www.pccomponentes.com/msi-geforce-rtx-3080-ti-ventus-3x-oc-12gb-gddr6x
Gigabyte GeForce GT 1030 OC 2G GDDR5,2,GDDR5,121.91,https://www.pccomponentes.com/gigabyte-geforce-gt-1030-oc-2g-gddr5
ASUS Cerberus GeForce GTX 1050 Ti OC Edition 4GB GDDR5,4,GDDR5,209.12,https://www.pccomponentes.com/asus-cerberus-geforce-gtx-1050-ti-oc-edition-4gb-gddr5
Asus GeForce GTX 1650 Dual 4GB OC GDDR5,4,GDDR5,256.31,https://www.pccomponentes.com/asus-geforce-gtx-1650-dual-4gb-oc-gddr5
Zotac Gaming GeForce RTX 3070 Ti Trinity 8GB GDDR6X,8,GDDR6X,779.91,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3070-ti-trinity-8gb-gddr6x
MSI GeForce RTX 3090 VENTUS 3X OC 24GB GDDR6X,24,GDDR6X,2079.94,https://www.pccomponentes.com/msi-geforce-rtx-3090-ventus-3x-oc-24gb-gddr6x
Gigabyte AORUS GeForce GTX 1650 D6 WINDFORCE OC 4GB GDDR6,4,GDDR6,306.96,https://www.pccomponentes.com/gigabyte-aorus-geforce-gtx-1650-d6-windforce-oc-4gb-gddr6
Biostar GeForce 210 1GB DDR3 Low Profile,1,DDR3,58.83,https://www.pccomponentes.com/biostar-geforce-210-1gb-ddr3-low-profile
Asus ROG Strix GeForce RTX 3070 V2 OC Edition LHR 8GB GDDR6,8,GDDR6,859.95,https://www.pccomponentes.com/asus-rog-strix-geforce-rtx-3070-v2-oc-edition-lhr-8gb-gddr6
EVGA GeForce RTX 3050 XC GAMING 8GB GDDR6,8,GDDR6,374.75,https://www.pccomponentes.com/evga-geforce-rtx-3050-xc-gaming-8gb-gddr6
Asus GeForce GTX 1650 Dual 4GB GDDR5,4,GDDR5,241.92,https://www.pccomponentes.com/asus-geforce-gtx-1650-dual-4gb-gddr5
Gigabyte GeForce RTX 3080 Gaming OC 10G 10GB GDDR6X,10,GDDR6X,1099.9,https://www.pccomponentes.com/gigabyte-geforce-rtx-3080-gaming-oc-10g-10gb-gddr6x
MSI GeForce GTX 1050 Ti AERO ITX OC 4GB GDDR5,4,GDDR5,239.89,https://www.pccomponentes.com/msi-geforce-gtx-1050-ti-aero-itx-oc-4gb-gddr5
Asus TUF Gaming GeForce RTX 3060 Ti V2 LHR 8GB GDDR6,8,GDDR6,899.9,https://www.pccomponentes.com/asus-tuf-gaming-geforce-rtx-3060-ti-v2-lhr-8gb-gddr6
XFX Speedster QICK 210 AMD Radeon RX 6500 XT 4GB GDDR6,4,GDDR6,232.22,https://www.pccomponentes.com/xfx-speedster-qick-210-amd-radeon-rx-6500-xt-4gb-gddr6
